Company,ISIN,NSE,BSE,Category
Reliance Industries Ltd,INE002A01018,RELIANCE,RELIANCE,Large Cap
HDFC Bank Ltd.,INE040A01034,HDFCBANK,HDFCBANK,Large Cap
Bharti Airtel  Ltd.,INE397D01024,BHARTIARTL,BHARTIARTL,Large Cap
State Bank Of India,INE062A01020,SBIN,SBIN,Large Cap
ICICI Bank Ltd.,INE090A01021,ICICIBANK,ICICIBANK,Large Cap
Tata Consultancy Services Ltd.,INE467B01029,TCS,TCS,Large Cap
Bajaj Finance Limited,INE296A01032,BAJFINANCE,BAJFINANCE,Large Cap
Larsen & Toubro Limited,INE018A01030,LT,LT,Large Cap
Infosys Ltd,INE009A01021,INFY,INFY,Large Cap
Hindustan Unilever Ltd.,INE030A01027,HINDUNILVR,HINDUNILVR,Large Cap
LIFE INSURANCE CORPORATION OF INDIA,INE0J1Y01017,LICI,LICI,Large Cap
Maruti Suzuki India  Ltd.,INE585B01010,MARUTI,MARUTI,Large Cap
Sun Pharmaceutical Industries Ltd.,INE044A01036,SUNPHARMA,SUNPHARMA,Large Cap
Mahindra & Mahindra Ltd.,INE101A01026,M&M,M&M,Large Cap
AXIS Bank Ltd.,INE238A01034,AXISBANK,AXISBANK,Large Cap
Kotak Mahindra Bank Ltd.,INE237A01036,KOTAKBANK,KOTAKBANK,Large Cap
ITC Ltd,INE154A01025,ITC,ITC,Large Cap
Titan Company Limited,INE280A01028,TITAN,TITAN,Large Cap
HCL Technologies Ltd,INE860A01027,HCLTECH,HCLTECH,Large Cap
NTPC Limited,INE733E01010,NTPC,NTPC,Large Cap
Adani Ports and Special Economic Zone Ltd,INE742F01042,ADANIPORTS,ADANIPORTS,Large Cap
UltraTech Cement Ltd,INE481G01011,ULTRACEMCO,ULTRACEMCO,Large Cap
Adani Power Limited,INE814H01029,ADANIPOWER,ADANIPOWER,Large Cap
Oil And Natural Gas Corporation Ltd,INE213A01029,ONGC,ONGC,Large Cap
Bharat Electronics Ltd.,INE263A01024,BEL,BEL,Large Cap
JSW Steel Limited,INE019A01038,JSWSTEEL,JSWSTEEL,Large Cap
Bajaj Finserv Limited,INE918I01026,BAJAJFINSV,BAJAJFINSV,Large Cap
Adani Enterprises Ltd.,INE423A01024,ADANIENT,ADANIENT,Large Cap
Hindustan Aeronautics Limited,INE066F01020,HAL,HAL,Large Cap
Coal India Limited,INE522F01014,COALINDIA,COALINDIA,Large Cap
Bajaj Auto Limited,INE917I01010,BAJAJ-AUTO,BAJAJ-AUTO,Large Cap
POWER GRID CORPORATION OF INDIA LIMITED,INE752E01010,POWERGRID,POWERGRID,Large Cap
Avenue Supermarts Limited,INE192R01011,DMART,DMART,Large Cap
Nestle India Ltd.,INE239A01024,NESTLEIND,NESTLEIND,Large Cap
Hindustan Zinc Ltd.,INE267A01025,HINDZINC,HINDZINC,Large Cap
TATA STEEL LIMITED,INE081A01020,TATASTEEL,TATASTEEL,Large Cap
Eternal Limited,INE758T01015,ETERNAL,ETERNAL,Large Cap
Asian Paints Ltd.,INE021A01026,ASIANPAINT,ASIANPAINT,Large Cap
Hindalco Industries Ltd.,INE038A01020,HINDALCO,HINDALCO,Large Cap
Wipro  Ltd.,INE075A01022,WIPRO,WIPRO,Large Cap
Indian Oil Corporation Ltd.,INE242A01010,IOC,IOC,Large Cap
Shriram Finance Limited,INE721A01047,SHRIRAMFIN,SHRIRAMFIN,Large Cap
Eicher Motors Ltd.,INE066A01021,EICHERMOT,EICHERMOT,Large Cap
Grasim Industries Ltd,INE047A01021,GRASIM,GRASIM,Large Cap
SBI Life Insurance Company Limited,INE123W01016,SBILIFE,SBILIFE,Large Cap
Adani Green Energy Limited,INE364U01010,ADANIGREEN,ADANIGREEN,Large Cap
Vedanta Aluminium Metal Limited,INE1CDF01017,VAML,VAML,Large Cap
InterGlobe Aviation Limited,INE646L01027,INDIGO,INDIGO,Large Cap
TVS Motor Company Ltd.,INE494B01023,TVSMOTOR,TVSMOTOR,Large Cap
Divi's Laboratories Ltd.,INE361B01024,DIVISLAB,DIVISLAB,Large Cap
HYUNDAI MOTOR INDIA LIMITED,INE0V6F01027,HYUNDAI,HYUNDAI,Large Cap
Varun Beverages Limited,INE200M01039,VBL,VBL,Large Cap
Jio Financial Services Limited,INE758E01017,JIOFIN,JIOFIN,Large Cap
Tata Motors Limited,INE1TAE01010,TMCV,TMCV,Large Cap
ICICI Prudential Asset Management Company Limited,INE346A01027,ICICIAMC,ICICIAMC,Large Cap
DLF LIMITED,INE271C01023,DLF,DLF,Large Cap
Pidilite Industries Ltd.,INE318A01026,PIDILITIND,PIDILITIND,Large Cap
Bank Of Baroda,INE028A01039,BANKBARODA,BANKBARODA,Large Cap
Tech Mahindra Limited,INE669C01036,TECHM,TECHM,Large Cap
Trent Ltd [Lakme Ltd],INE849A01020,TRENT,TRENT,Large Cap
Torrent Pharmaceuticals Ltd.,INE685A01028,TORNTPHARM,TORNTPHARM,Large Cap
Bharat Petroleum Corpn. Ltd.,INE029A01011,BPCL,BPCL,Large Cap
Adani Energy Solutions Limited,INE931S01010,ADANIENSOL,ADANIENSOL,Large Cap
Tata Capital Limited,INE976I01016,TATACAP,TATACAP,Large Cap
HDFC LIFE INSURANCE COMPANY LIMITED,INE795G01014,HDFCLIFE,HDFCLIFE,Large Cap
LTM LIMITED,INE214T01019,LTM,LTM,Large Cap
MUTHOOT FINANCE LIMITED,INE414G01012,MUTHOOTFIN,MUTHOOTFIN,Large Cap
Power Finance Corporation Ltd,INE134E01011,PFC,PFC,Large Cap
Indian Railway Finance Corporation,INE053F01010,IRFC,IRFC,Large Cap
Cholamandalam Investment and Finance Company Ltd,INE121A01024,CHOLAFIN,CHOLAFIN,Large Cap
Britannia Industries Ltd.,INE216A01030,BRITANNIA,BRITANNIA,Large Cap
Cummins India Ltd.,INE298A01020,CUMMINSIND,CUMMINSIND,Large Cap
Solar Industries India Limited,INE343H01029,SOLARINDS,SOLARINDS,Large Cap
BSE Ltd.,INE118H01025,BSE,,Large Cap
Union Bank of India,INE692A01016,UNIONBANK,UNIONBANK,Large Cap
ABB India Limited,INE117A01022,ABB,ABB,Large Cap
Samvardhana Motherson International Limited,INE775A01035,MOTHERSON,MOTHERSON,Large Cap
Punjab National Bank,INE160A01022,PNB,PNB,Large Cap
TATA MOTORS PASSENGER VEHICLES LIMITED,INE155A01022,TMPV,TMPV,Large Cap
Canara Bank,INE476A01022,CANBK,CANBK,Large Cap
Tata Power Co. Ltd,INE245A01021,TATAPOWER,TATAPOWER,Large Cap
Polycab India Limited,INE455K01017,POLYCAB,POLYCAB,Large Cap
VODAFONE IDEA LIMITED,INE669E01016,IDEA,IDEA,Large Cap
Vedanta Ltd.,INE205A01025,VEDL,,Large Cap
HITACHI ENERGY INDIA LIMITED,INE07Y701011,POWERINDIA,POWERINDIA,Large Cap
Siemens Ltd.,INE003A01024,SIEMENS,SIEMENS,Large Cap
JINDAL STEEL LIMITED,INE749A01030,JINDALSTEL,JINDALSTEL,Large Cap
CG Power and Industrial Solutions Limited,INE067A01029,CGPOWER,CGPOWER,Large Cap
Indian Bank,INE562A01011,INDIANB,INDIANB,Large Cap
Ambuja Cements Ltd.,INE079A01024,AMBUJACEM,AMBUJACEM,Large Cap
Bajaj Holdings & Investment Limited,INE118A01012,BAJAJHLDNG,BAJAJHLDNG,Large Cap
INDUS TOWERS LIMITED,INE121J01017,INDUSTOWER,INDUSTOWER,Large Cap
Godrej Consumer Products Ltd.,INE102D01028,GODREJCP,GODREJCP,Large Cap
TATA CONSUMER PRODUCTS LIMITED,INE192A01025,TATACONSUM,TATACONSUM,Large Cap
Billionbrains Garage Ventures Limited,INE0HOQ01053,GROWW,GROWW,Large Cap
HDFC Asset Management Company Limited,INE127D01025,HDFCAMC,HDFCAMC,Large Cap
Apollo Hospitals Enterprises Ltd.,INE437A01024,APOLLOHOSP,APOLLOHOSP,Large Cap
Bharat Heavy Electricals Ltd.,INE257A01026,BHEL,BHEL,Large Cap
Cipla Ltd.,INE059A01026,CIPLA,CIPLA,Large Cap
Gail (India) Ltd.,INE129A01019,GAIL,GAIL,Large Cap
Bosch Ltd,INE323A01026,BOSCHLTD,BOSCHLTD,Mid Cap
Siemens Energy India Limited,INE1NPP01017,ENRIN,ENRIN,Mid Cap
Hero MotoCorp Limited,INE158A01026,HEROMOTOCO,HEROMOTOCO,Mid Cap
Dr. Reddy's Laboratories Ltd.,INE089A01031,DRREDDY,DRREDDY,Mid Cap
Lupin Ltd,INE326A01037,LUPIN,LUPIN,Mid Cap
GMR Airports Limited,INE776C01039,GMRAIRPORT,GMRAIRPORT,Mid Cap
Ashok Leyland Ltd.,INE208A01029,ASHOKLEY,ASHOKLEY,Mid Cap
LG Electronics India Limited,INE324D01010,LGEINDIA,LGEINDIA,Mid Cap
GE Vernova T&D India Limited,INE200A01026,GVT&D,GVT&D,Mid Cap
Marico Limited,INE196A01026,MARICO,MARICO,Mid Cap
Max Healthcare Institute Limited,INE027H01010,MAXHEALTH,MAXHEALTH,Mid Cap
Mazagon Dock Shipbuilders Limited,INE249Z01020,MAZDOCK,MAZDOCK,Mid Cap
United Spirits Limited,INE854D01024,UNITDSPR,UNITDSPR,Mid Cap
Zydus Lifesciences Limited,INE010B01027,ZYDUSLIFE,ZYDUSLIFE,Mid Cap
Indian Hotels Co. Ltd,INE053A01029,INDHOTEL,INDHOTEL,Mid Cap
IDBI Bank Ltd,INE008A01015,IDBI,IDBI,Mid Cap
REC LIMITED,INE020B01018,RECLTD,RECLTD,Mid Cap
Lodha Developers Limited,INE670K01029,LODHA,LODHA,Mid Cap
Mankind Pharma Limited,INE634S01028,MANKIND,MANKIND,Mid Cap
Shree Cements Ltd.,INE070A01015,SHREECEM,SHREECEM,Mid Cap
JSW Energy Limited,INE121E01018,JSWENERGY,JSWENERGY,Mid Cap
ICICI Lombard General Insurance Company Limited,INE765G01017,ICICIGI,ICICIGI,Mid Cap
Aditya Birla Capital Ltd,INE674K01013,ABCAPITAL,ABCAPITAL,Mid Cap
Waaree Energies Limited,INE377N01017,WAAREEENER,WAAREEENER,Mid Cap
Lenskart Solutions Limited,INE956O01016,LENSKART,LENSKART,Mid Cap
Hindustan Petroleum Corporation Ltd,INE094A01015,HINDPETRO,HINDPETRO,Mid Cap
Bharat Forge Ltd,INE465A01025,BHARATFORG,BHARATFORG,Mid Cap
ICICI Prudential Life Insurance Company Limited,INE726G01019,ICICIPRULI,ICICIPRULI,Mid Cap
Persistent Systems Limited,INE262H01021,PERSISTENT,PERSISTENT,Mid Cap
Dabur India Ltd.,INE016A01026,DABUR,DABUR,Mid Cap
NTPC GREEN ENERGY LIMITED,INE0ONG01011,NTPCGREEN,NTPCGREEN,Mid Cap
Havells India Limited,INE176B01034,HAVELLS,HAVELLS,Mid Cap
SWIGGY LIMITED,INE00H001014,SWIGGY,SWIGGY,Mid Cap
SRF Ltd.,INE647A01010,SRF,SRF,Mid Cap
Lloyds Metals and Energy Limited,INE281B01032,LLOYDSME,LLOYDSME,Mid Cap
Bharti Hexacom Limited,INE343G01021,BHARTIHEXA,BHARTIHEXA,Mid Cap
NHPC Limited,INE848E01016,NHPC,NHPC,Mid Cap
Aurobindo Pharma Ltd.,INE406A01037,AUROPHARMA,AUROPHARMA,Mid Cap
Meesho Limited,INE0VDM01015,MEESHO,MEESHO,Mid Cap
Oil India Limited,INE274J01014,OIL,OIL,Mid Cap
FSN E-Commerce Ventures Limited,INE388Y01029,NYKAA,NYKAA,Mid Cap
NMDC Ltd,INE584A01023,NMDC,NMDC,Mid Cap
TORRENT POWER LIMITED,INE813H01021,TORNTPOWER,TORNTPOWER,Mid Cap
PB Fintech Limited,INE417T01026,POLICYBZR,POLICYBZR,Mid Cap
AU Small Finance Bank Limited,INE949L01017,AUBANK,AUBANK,Mid Cap
One 97 Communications Limited,INE982J01020,PAYTM,PAYTM,Mid Cap
Bajaj Housing Finance Limited,INE377Y01014,BAJAJHFL,BAJAJHFL,Mid Cap
Oracle Financial Services Software Limited,INE881D01027,OFSS,OFSS,Mid Cap
L&T Finance Limited,INE498L01015,LTF,LTF,Mid Cap
Federal Bank Ltd.,INE171A01029,FEDERALBNK,FEDERALBNK,Mid Cap
National Aluminium Co. Ltd.,INE139A01034,NATIONALUM,NATIONALUM,Mid Cap
IndusInd Bank Ltd.,INE095A01012,INDUSINDBK,INDUSINDBK,Mid Cap
Steel Authority of India Ltd.,INE114A01011,SAIL,SAIL,Mid Cap
Info Edge(India) Ltd.,INE663F01032,NAUKRI,NAUKRI,Mid Cap
Bank of India,INE084A01016,BANKINDIA,BANKINDIA,Mid Cap
Fortis Healthcare Ltd,INE061F01013,FORTIS,FORTIS,Mid Cap
Multi Commodity Exchange of India Ltd,INE745G01043,,MCX,Mid Cap
SUZLON ENERGY LTD.,INE040H01021,SUZLON,SUZLON,Mid Cap
Dixon Technologies (India) Limited,INE935N01020,DIXON,DIXON,Mid Cap
Yes Bank Ltd.,INE528G01035,YESBANK,YESBANK,Mid Cap
SBI CARDS AND PAYMENT SERVICES LIMITED,INE018E01016,SBICARD,SBICARD,Mid Cap
General Insurance Corporation of India,INE481Y01014,GICRE,GICRE,Mid Cap
Indian Overseas Bank,INE565A01014,IOB,IOB,Mid Cap
Alkem Laboratories Limited,INE540L01014,ALKEM,ALKEM,Mid Cap
ADANI TOTAL GAS LIMITED,INE399L01023,ATGL,ATGL,Mid Cap
UNO Minda Limited,INE405E01023,UNOMINDA,UNOMINDA,Mid Cap
IDFC FIRST BANK LIMITED,INE092T01019,IDFCFIRSTB,IDFCFIRSTB,Mid Cap
Schaeffler India Limited,INE513A01022,SCHAEFFLER,SCHAEFFLER,Mid Cap
The Phoenix Mills Ltd.,INE211B01039,PHOENIXLTD,PHOENIXLTD,Mid Cap
Jindal Stainless Limited,INE220G01021,JSL,JSL,Mid Cap
Laurus Labs Limited,INE947Q01028,LAURUSLABS,LAURUSLABS,Mid Cap
NIPPON LIFE INDIA ASSET MANAGEMENT LIMITED,INE298J01013,NAM-INDIA,NAM-INDIA,Mid Cap
Biocon Ltd.,INE376G01013,BIOCON,BIOCON,Mid Cap
Coromandel International Limited,INE169A01031,COROMANDEL,COROMANDEL,Mid Cap
Prestige Estates Projects Limited,INE811K01011,PRESTIGE,PRESTIGE,Mid Cap
Glenmark Pharmaceuticals ltd,INE935A01035,GLENMARK,GLENMARK,Mid Cap
Rail Vikas Nigam Limited,INE415G01027,RVNL,RVNL,Mid Cap
Linde India Limited,INE473A01011,LINDEINDIA,LINDEINDIA,Mid Cap
OBEROI REALTY LIMITED,INE093I01010,OBEROIRLTY,OBEROIRLTY,Mid Cap
Max Financial Services Limited,INE180A01020,MFSL,MFSL,Mid Cap
M.R.F. Ltd.,INE883A01011,MRF,MRF,Mid Cap
HDB FINANCIAL SERVICES LIMITED,INE756I01012,HDBFS,HDBFS,Mid Cap
Abbott India Ltd.,INE358A01014,,ABBOTINDIA,Mid Cap
JSW Infrastructure Limited,INE880J01026,JSWINFRA,JSWINFRA,Mid Cap
Colgate-Palmolive (India) Ltd.,INE259A01022,COLPAL,COLPAL,Mid Cap
Bank of maharashtra,INE457A01014,MAHABANK,MAHABANK,Mid Cap
UPL Limited,INE628A01036,UPL,UPL,Mid Cap
Berger Paints India Ltd,INE463A01038,BERGEPAINT,BERGEPAINT,Mid Cap
Vishal Mega Mart Limited,INE01EA01019,VMM,VMM,Mid Cap
APL Apollo Tubes Limited,INE702C01027,APLAPOLLO,APLAPOLLO,Mid Cap
Fertilizers and Chemicals Travancore Limited,INE188A01015,FACT,FACT,Mid Cap
SUNDARAM FINANCE LTD,INE660A01013,SUNDARMFIN,SUNDARMFIN,Mid Cap
Tube Investments of India Ltd,INE974X01010,TIINDIA,TIINDIA,Mid Cap
Hindustan Copper Ltd.,INE531E01026,HINDCOPPER,HINDCOPPER,Mid Cap
Knowledge Realty Trust,INE1JAR25012,KRT,KRT,Mid Cap
Godrej Properties Limited,INE484J01027,GODREJPROP,GODREJPROP,Mid Cap
Patanjali Foods Limited,INE619A01035,PATANJALI,PATANJALI,Mid Cap
Bharat Dynamics Limited,INE171Z01026,BDL,BDL,Mid Cap
Motilal Oswal Financial Services Limited,INE338I01027,MOTILALOFS,MOTILALOFS,Mid Cap
COFORGE LIMITED,INE591G01025,COFORGE,COFORGE,Mid Cap
